iter	Logloss
209	0.3751775762
210	0.3750018786
211	0.3747659256
212	0.3745507075
213	0.3744231433
214	0.3741567791
215	0.3740090117
216	0.3737545922
217	0.3735415717
218	0.3733537876
219	0.3730643136
220	0.3728801803
221	0.3726882137
222	0.3723426668
223	0.3722193205
224	0.3720688238
225	0.3718393217
226	0.3717861198
227	0.3714939875
228	0.3712521153
229	0.3709739127
230	0.37074636
231	0.3705898732
232	0.3703674954
233	0.3702100871
234	0.3699669035
235	0.3697964162
236	0.36962522
237	0.3694062095
238	0.3691477493
239	0.3690381554
240	0.3688032658
241	0.3687252882
242	0.3685205617
243	0.3683747437
244	0.3681928433
245	0.3680384478
246	0.3677834257
247	0.3676139663
248	0.367454325
249	0.3673238189
250	0.367141635
251	0.3669315919
252	0.3667418228
253	0.3664643645
254	0.3663612215
255	0.3662616938
256	0.3660884773
257	0.3659701641
258	0.3657510472
259	0.3656021809
260	0.3654277239
261	0.3652239544
262	0.3650238356
263	0.3646988819
264	0.3645256299
265	0.3643630822
266	0.3640895582
267	0.3640297991
268	0.3638237611
269	0.3636284628
270	0.3634589679
271	0.3633275403
272	0.3630366486
273	0.3627358679
274	0.3626386086
275	0.3624924007
276	0.3623001861
277	0.3621061992
278	0.361861775
279	0.3617120936
280	0.361480642
281	0.3612927515
282	0.3611691926
283	0.3610311723
284	0.3607924901
285	0.3607099048
286	0.3605014212
287	0.3602275073
288	0.3601483601
289	0.360025829
290	0.3598768919
291	0.3597508518
292	0.3595852204
293	0.3593486294
294	0.3591330924
295	0.3589793703
296	0.3587591191
297	0.3586271244
298	0.3584059517
299	0.3582528676
300	0.3581060926
301	0.3579098373
302	0.3577937925
303	0.3576612661
304	0.357545753
305	0.3574936852
306	0.3573771797
307	0.3572427393
308	0.3570560185
309	0.3569194869
310	0.3568319394
311	0.3567401385
312	0.3566359322
313	0.3564855773
314	0.3563639323
315	0.3561352454
316	0.3559245288
317	0.3558017141
318	0.3556762412
319	0.3554647448
320	0.3553499406
321	0.3551615539
322	0.3549286491
323	0.3547165856
324	0.3545597444
325	0.354406554
326	0.3542560573
327	0.3540357353
328	0.3539065761
329	0.3537577453
330	0.3535169364
331	0.3533812909
332	0.3532292702
333	0.3530491066
334	0.3529701366
335	0.3526894174
336	0.3524953242
337	0.3523122896
338	0.3519672744
339	0.3517575148
340	0.351614745
341	0.3514760158
342	0.3512917761
343	0.3510791455
344	0.3508366708
345	0.3507918691
346	0.3505721497
347	0.3504141033
348	0.3502114326
349	0.3500257397
350	0.3498798153
351	0.3498148458
352	0.3496117852
353	0.3494029472
354	0.3492668763
355	0.3490612283
356	0.3489069745
357	0.3488066316
358	0.3486334505
359	0.3483026485
360	0.3481363082
361	0.3479661753
362	0.3478814633
363	0.3477217866
364	0.347555021
365	0.347260124
366	0.3470528455
367	0.346863431
368	0.3467221498
369	0.3465386899
370	0.3462747359
371	0.3460515429
372	0.3459308195
373	0.3457767783
374	0.3455934602
375	0.3454862056
376	0.3452725471
377	0.34520258
378	0.3451158831
379	0.3449470263
380	0.344863165
381	0.3447057921
382	0.3445309097
383	0.3443203703
384	0.3442361546
385	0.3440341927
386	0.3438578926
387	0.3437450732
388	0.3435732036
389	0.3434288034
390	0.343316303
391	0.3432270542
392	0.3430659242
393	0.3428018993
394	0.342687166
395	0.3425054783
396	0.3423447736
397	0.3421069421
398	0.3419683902
399	0.3417756793
400	0.3415384857
401	0.341373067
402	0.3411936832
403	0.3410370901
404	0.340805036
405	0.3406711982
406	0.3404791253
407	0.3403110482
408	0.3401445661
409	0.3399552933
410	0.3398525048
411	0.3397317459
412	0.3395397793
413	0.3394061542
414	0.339208871
415	0.3390513209
416	0.3388619417
417	0.3387829717
418	0.3386297459
419	0.3384468531
420	0.3383160989
421	0.3381398342
422	0.3379659442
423	0.3377862769
424	0.3376645964
425	0.3374551558
426	0.3372005591
427	0.3370659061
428	0.336925192
429	0.3367675356
430	0.3366869352
431	0.336429751
432	0.3362269385
433	0.3360216449
434	0.3358727786
435	0.3355686662
436	0.3352686653
437	0.3351836697
438	0.335065711
439	0.3349215234
440	0.3347479879
441	0.3344903784
442	0.3343816352
443	0.3340759986
444	0.3339450318
445	0.3337765294
446	0.3335543288
447	0.3333753349
448	0.3332097035
449	0.3329384834
450	0.3327259591
451	0.3325910579
452	0.3324495641
453	0.3321758629
454	0.3319813444
455	0.3317867549
456	0.3316466434
457	0.3314762625
458	0.3312998915
459	0.3311826416
460	0.3310144936
461	0.3308182383
462	0.3306575691
463	0.3304832538
464	0.3302830996
465	0.3301197367
466	0.3299090909
467	0.3297187194
468	0.3295832511
469	0.3293842666
470	0.3292400435
471	0.3289850215
472	0.3288330362
473	0.3286894866
474	0.3284717165
475	0.3282970823
476	0.3280839909
477	0.327981096
478	0.3277767593
479	0.3275304921
480	0.3273425662
481	0.3272554085
482	0.3271344724
483	0.32701981
484	0.3268623662
485	0.3266855698
486	0.3264594704
487	0.3262025698
488	0.3260333585
489	0.3258128593
490	0.3255915094
491	0.3254540562
492	0.3253215652
493	0.3251442372
494	0.3249920746
495	0.3248566773
496	0.3246864735
497	0.32462916
498	0.3243847359
499	0.3241655126
500	0.323997152
501	0.3238432526
502	0.323544067
503	0.3233589057
504	0.3231670455
505	0.3229654381
506	0.3227811275
507	0.3226649764
508	0.3224967221
509	0.3223089025
510	0.3221018721
511	0.3218677623
512	0.3217453021
513	0.3215658828
514	0.3213895118
515	0.3212514206
516	0.3210713279
517	0.3208662469
518	0.3207235126
519	0.3205291358
520	0.3203502128
521	0.32011029
522	0.3199320759
523	0.3197249391
524	0.3194939484
525	0.3192819912
526	0.3191015086
527	0.318886007
528	0.3187532325
529	0.3186053587
530	0.3184496872
531	0.3182856508
532	0.3180520726
533	0.3178813726
534	0.3177369015
535	0.3175033942
536	0.3172077175
537	0.3170314882
538	0.3167821727
539	0.3166483349
540	0.3164166706
541	0.3162721995
542	0.3161641651
543	0.316001901
544	0.31586622
545	0.3156683343
546	0.3154811527
547	0.3152729172
548	0.3151145873
549	0.3149378618
550	0.3147655314
551	0.3145459892
552	0.3143154946
553	0.3140702198
554	0.3138856256
555	0.3136744483
556	0.3135065484
557	0.3132150896
558	0.3129984892
559	0.3127896512
560	0.3125791827
561	0.3124014647
562	0.3122684421
563	0.3121261331
564	0.3119323589
565	0.3116593311
566	0.3115091534
567	0.3113587631
568	0.3112013193
569	0.311041678
570	0.3108056541
571	0.3106155661
572	0.3103734813
573	0.3101607443
574	0.3100363347
575	0.3098771187
576	0.3097206674
577	0.3095581551
578	0.3093628213
579	0.3091334255
580	0.3089890962
581	0.3087697312
582	0.3086549624
583	0.3084108572
584	0.308255611
