iter	Logloss
0	0.6799744574
1	0.6684242807
2	0.6568454649
3	0.6458541746
4	0.6356986618
5	0.6264702313
6	0.6169943992
7	0.6087675549
8	0.5997970882
9	0.5920333596
10	0.5836061839
11	0.5762221351
12	0.5687215453
13	0.5617931335
14	0.5556443554
15	0.5493848138
16	0.5435689999
17	0.5379401904
18	0.5329964136
19	0.5275956175
20	0.5225959804
21	0.5176635459
22	0.513438155
23	0.5090461049
24	0.505002189
25	0.5011637086
26	0.4977852603
27	0.4942968991
28	0.4907837623
29	0.4875895182
30	0.4849919088
31	0.4820521905
32	0.4791477748
33	0.4761129949
34	0.4736842068
35	0.4710993573
36	0.4685425797
37	0.4662471687
38	0.463704498
39	0.4612700034
40	0.4593561861
41	0.4572169075
42	0.4552376954
43	0.453286768
44	0.4513936148
45	0.4496023996
46	0.4479214162
47	0.4466744134
48	0.4451664339
49	0.44370198
50	0.4422110847
51	0.4407156524
52	0.4394233163
53	0.4380734894
54	0.4373534022
55	0.4361914304
56	0.4350750754
57	0.4342062282
58	0.4330605253
59	0.4319620343
60	0.4310204199
61	0.4297912101
62	0.4288201061
63	0.4280998416
64	0.4271727594
65	0.4264423579
66	0.4255321472
67	0.4246804905
68	0.4238491789
69	0.4232410249
70	0.4225274594
71	0.4217467269
72	0.4210582206
73	0.4202668548
74	0.4196724886
75	0.4190359082
76	0.4184521399
77	0.4177747631
78	0.4170815781
79	0.4164086673
80	0.4157620916
81	0.4153578489
82	0.414796765
83	0.4143019265
84	0.4138662092
85	0.4133775381
86	0.4128934038
87	0.4123957653
88	0.4117274977
89	0.4111308631
90	0.410523666
91	0.4101391658
92	0.4097160313
93	0.4092716301
94	0.4088830184
95	0.4085007511
96	0.4080484459
97	0.4074858379
98	0.4069156802
99	0.4064793958
100	0.4063073135
101	0.405854512
102	0.4054225873
103	0.4049662059
104	0.4046131803
105	0.4041681412
106	0.4038010795
107	0.4036662847
108	0.4033029448
109	0.4029723908
110	0.4024490197
111	0.4020035552
112	0.4015373912
113	0.4011017803
114	0.4006180359
115	0.4002230087
116	0.3999492721
117	0.3996247437
118	0.3992586036
119	0.3989099376
120	0.3985763709
121	0.3981838603
122	0.3980018182
123	0.3976408884
124	0.3973249021
125	0.3970075689
126	0.3965948905
127	0.3963044595
128	0.3959775209
129	0.3956899964
130	0.3953476041
131	0.3950625607
132	0.3947529189
133	0.3942196588
134	0.3938433462
135	0.3935790023
136	0.3932530562
137	0.392846864
138	0.392594075
139	0.3923233511
140	0.3920500043
141	0.3917755233
142	0.3915205367
143	0.3911873245
144	0.3909079876
145	0.3905776109
146	0.3902410669
147	0.3900219854
148	0.3898915148
149	0.3896082436
150	0.3893100149
151	0.3888865968
152	0.3886841033
153	0.3884716499
154	0.3881561244
155	0.3879272248
156	0.3877277795
157	0.3874978166
158	0.3872699804
159	0.3870170496
160	0.3867603617
161	0.3865396852
162	0.3862726475
163	0.3860976234
164	0.385907748
165	0.3857001505
166	0.3854864211
167	0.3852234241
168	0.3849575916
169	0.3846533728
170	0.3844855438
171	0.3842986104
172	0.3840178912
173	0.3837237031
174	0.38351366
175	0.383234713
176	0.3830013475
177	0.382821113
178	0.3826085178
179	0.3822770778
180	0.3819081022
181	0.381668144
182	0.3815352632
183	0.381344927
184	0.3811251012
185	0.3808442757
186	0.3805144307
187	0.3802148551
188	0.3798561229
189	0.3797387313
190	0.3793941414
191	0.3791206174
192	0.3788682891
193	0.3787162683
194	0.3785368491
195	0.3783039797
196	0.3780515451
197	0.3778608191
198	0.3776501734
199	0.3773828168
200	0.3772362544
201	0.3770623999
202	0.3767479732
203	0.3765394895
204	0.3762175131
205	0.3759129045
206	0.3757073273
207	0.3755754743
208	0.375354408
